MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS,IMDb Link,720p torrent,1080p torrent
,,,,,,
Boo! A Madea Halloween (2016),4.6,79,"3,32,088",https://www.imdb.com/title/tt5325452/,https://yts.am/torrent/download/A329DE3956091DFFB2C620BBD614C3A39DCA989A,https://yts.am/torrent/download/33D7442CDD6462F9A8901579649531142A62E153
,,,,,,
The Hollow Point (2016),5.4,55,"2,21,392",https://www.imdb.com/title/tt2918606/,https://yts.am/torrent/download/CE50359216E917F3A807845EFA16E452882A8014,https://yts.am/torrent/download/B10D13EF2203A8C2738A105963F2EA07FBB209BF
,,,,,,
Billionaire Ransom (2016),5.5,64,"3,38,249",https://www.imdb.com/title/tt2782844/,https://yts.am/torrent/download/F5C4B7E9EA84127882F7D5CFE6773C7643AB5EB9,https://yts.am/torrent/download/6883403AA51589055D4BD4F22F237BD8779CAD23
,,,,,,
Operation Avalanche (2016),6,53,"2,71,387",https://www.imdb.com/title/tt3776826/,https://yts.am/torrent/download/A24DFA3CA17F8EF07D022249C779AE8943290D53,https://yts.am/torrent/download/FC23D5C40CF4B7896B70E3591A06AD16C494A3DD
,,,,,,
Red Billabong (2016),4,36,"1,53,318",https://www.imdb.com/title/tt4011010/,https://yts.am/torrent/download/2074CF71B6D4DC747B22DD7FA665DA9E98A6BB9F,https://yts.am/torrent/download/1964635924D3F810372290A58B274B6E1F8528C9
,,,,,,
3 Generations (2015),5.8,34,"1,11,706",https://www.imdb.com/title/tt4158624/,https://yts.am/torrent/download/9B74014DEA1BA3E2B5B4896F950BEB98A1A610AF,https://yts.am/torrent/download/137F53A07EBEC2122223B08F276997D8D5BB4F42
,,,,,,
Maigret's Dead Man (2016),7.1,195,"3,98,748",https://www.imdb.com/title/tt5017060/,https://yts.am/torrent/download/DD3131E2CE6C931F2CBAA745238FE0627FCF9873,https://yts.am/torrent/download/8B0AC9A9A2321CAD4433B0333F6C7000CA036285
,,,,,,
Howard Lovecraft and the Frozen Kingdom (2016),5.6,33,"2,33,007",https://www.imdb.com/title/tt4768656/,https://yts.am/torrent/download/74D534B0D5E7EB48BD922ECF5BFC4426CF9A49DB,https://yts.am/torrent/download/3687408B440A8E80887F110389C89928D709757C
,,,,,,
The Front Page (1931),6.8,4,"28,987",https://www.imdb.com/title/tt0021890/,https://yts.am/torrent/download/9CB01FBA14E55D77B6FE095D731CF4696F158AC5,https://yts.am/torrent/download/DC12D42D554345EE88E3A1AEE57B1DB1008138E9
,,,,,,
The Man Between (1953),7.1,7,"34,239",https://www.imdb.com/title/tt0046031/,https://yts.am/torrent/download/D3EEBB8F02B67E9FC5CD5A8CB1EFD5107932E11B,https://yts.am/torrent/download/F70751BD2D05B42108322185C4F39546703C5592
,,,,,,
Battleground (1949),7.5,22,"1,05,646",https://www.imdb.com/title/tt0041163/,https://yts.am/torrent/download/F3EBA6CF8C365AF58AC87E9B9B10C84A80EB8B94,https://yts.am/torrent/download/30358D37BE60EC1336FCE56BFBB95EDA0C0BD9EB
,,,,,,
Down Under (2016),5.7,31,"1,41,703",https://www.imdb.com/title/tt4463120/,https://yts.am/torrent/download/924036464137975ADACC760F6FB521BF686746E8,https://yts.am/torrent/download/2BC7024EB3451F19614F87D36711882C2AFA1B65
,,,,,,
Atlantis: The Lost Continent (1961),5.5,14,"30,401",https://www.imdb.com/title/tt0054642/,https://yts.am/torrent/download/C1923DC466CB11B24B264B4DBD1721852F17BF4A,https://yts.am/torrent/download/E5E65BCD615A96DFC1D98F143C142E7FA47DAF5A
,,,,,,
The Mechanic (2011),6.6,349,"6,49,162",https://www.imdb.com/title/tt0472399/,https://yts.am/torrent/download/4D54644D03FA461DD2FA435B30A0C45EDFFBB249,https://yts.am/torrent/download/3162976719D2921665C09100650E992C9BE63DDC
,,,,,,
Legend of the Guardians: The Owls of Ga'Hoole (2010),7,244,"4,72,739",https://www.imdb.com/title/tt1219342/,https://yts.am/torrent/download/1F84348AAE70053530DCD52A4B2AD88EAA8282E9,https://yts.am/torrent/download/B642B51518355D32B9352E3BD43EFD473B7B9495
,,,,,,
Pandorum (2009),6.8,174,"2,32,542",https://www.imdb.com/title/tt1188729/,https://yts.am/torrent/download/97CD56A430272FC97D96524F350C441657886898,https://yts.am/torrent/download/960735AC5941A4F2E14668BAABAA2B12B96F52AA
,,,,,,
The Light Between Oceans (2016),7.2,188,"6,10,646",https://www.imdb.com/title/tt2547584/,https://yts.am/torrent/download/07DF1B4DF191CCD28E7C6F8037D5774D051F1088,https://yts.am/torrent/download/5613E6974DE26569C1D08B35A2D1C9D4A3E990C0
,,,,,,
Keeping Up with the Joneses (2016),5.9,147,"9,36,674",https://www.imdb.com/title/tt2387499/,https://yts.am/torrent/download/76489A0AE8EC9ABB58A3A71509208F1397CE1893,https://yts.am/torrent/download/565D16805EBFA78C7A4DE33E33A22647D8001EEC
,,,,,,
Ouija: Origin of Evil (2016),6.1,222,"10,89,083",https://www.imdb.com/title/tt4361050/,https://yts.am/torrent/download/C2496152A89CB079636391BA71A57251E91E253B,https://yts.am/torrent/download/E226238E7E115251CE4B5E64B7B52B6B7E5797D8
,,,,,,
Rupture (2016),4.8,50,"1,80,487",https://www.imdb.com/title/tt4578118/,https://yts.am/torrent/download/42F0CC6F7D4A1B66C1E8871A192D945BFFE4DC9F,https://yts.am/torrent/download/04E45790CF59E830AF5B2F29577334FBC8E2ED16
,,,,,,
Inferno (2016),6.2,383,"22,32,504",https://www.imdb.com/title/tt3062096/,https://yts.am/torrent/download/23C0625C34F83E82415BF947CB7216B17B17A04E,https://yts.am/torrent/download/55D6FBB9E49561FB0E793E6E40F9528F5D941BAF
,,,,,,
The Girl on the Train (2016),6.5,290,"15,08,132",https://www.imdb.com/title/tt3631112/,https://yts.am/torrent/download/058A02EA7733DDA966C637E5850C2C117DD2911F,https://yts.am/torrent/download/1D123A02A30767F44EB8D2FB12BF5E0D5BB09373
,,,,,,
Miss Saigon: 25th Anniversary (2016),8.2,68,"2,48,662",https://www.imdb.com/title/tt6162808/,https://yts.am/torrent/download/AEA78D209AAE4B81715D59F899D28D7553FCB56E,https://yts.am/torrent/download/4ACDCC73ADA0554BA17E56522B9FC18ED5B0C806
,,,,,,
USS Indianapolis: Men of Courage (2016),5.2,90,"6,19,231",https://www.imdb.com/title/tt2032572/,https://yts.am/torrent/download/61DF4F6D4AEEBBE837843CA4C0BA8C0DC98FE626,https://yts.am/torrent/download/B22A81A123683513D71BC5403347E504F65C18C1
,,,,,,
Phantasm: Ravager (2016),5.1,33,"1,29,280",https://www.imdb.com/title/tt3627704/,https://yts.am/torrent/download/4E8832097501EBED021C72A79E6E6705F69DACB3,https://yts.am/torrent/download/E896B5D04D61B739813371B356B3EF4B75BC7617
,,,,,,
Brotherhood (2016),6.1,48,"1,90,688",https://www.imdb.com/title/tt5193784/,https://yts.am/torrent/download/87BF008A45FCC6DFB7DFC5F1F5BE1E6AE183A329,https://yts.am/torrent/download/450E6ACE06D4C3534A30F25C1D715CECA9F6C645
,,,,,,
Kevin Hart: What Now? (2016),5.8,138,"8,05,374",https://www.imdb.com/title/tt4669186/,https://yts.am/torrent/download/F0D8A6DC72A952E2861D86CD6ED79AF84D736701,https://yts.am/torrent/download/998A38A621DECC928CDCDAA08A4203D55AF6745C
,,,,,,
Max Steel (2016),4.6,216,"14,03,597",https://www.imdb.com/title/tt1472584/,https://yts.am/torrent/download/173972DEF8F3177BB20D1FC21B58D1ABEEA85E9E,https://yts.am/torrent/download/AEADC552A16950B1E1812089F0552A6DD74EB01A
,,,,,,
Collide (2016),5.7,152,"6,43,269",https://www.imdb.com/title/tt2126235/,https://yts.am/torrent/download/453A3F638D009305FB684B66C0482B4B39021856,https://yts.am/torrent/download/4DF587A45D10A5AAD9C55C059E2F173E357B5912
,,,,,,
Lady in Cement (1968),5.9,8,"74,235",https://www.imdb.com/title/tt0063210/,https://yts.am/torrent/download/49993A8DB3701B56BA55D9DFD5DD355D891E7E2A,https://yts.am/torrent/download/F5AA5DBF01A749F1600A5E704759A0F210E98F3F
,,,,,,
Deepwater Horizon (2016),7.1,416,"20,76,964",https://www.imdb.com/title/tt1860357/,https://yts.am/torrent/download/A87A6B7EFF326073765B1EB6D1CE8AEA61A66CEC,https://yts.am/torrent/download/59ABD803BAA1651F575D1FBE9ABEFAAEA9253A0D
,,,,,,
Baked in Brooklyn (2016),5.4,60,"2,86,436",https://www.imdb.com/title/tt3138344/,https://yts.am/torrent/download/AEC0B28702FA49496B58D945CADD22D430B9AFAB,https://yts.am/torrent/download/BC371ECA0ADD614C0FC16A5ED74733C8D6976F9A
,,,,,,
Titanoboa: Monster Snake (2012),6.8,29,"1,32,310",https://www.imdb.com/title/tt2355871/,https://yts.am/torrent/download/615B6D44501BE5E4CC56DE3244B3D20AAA0A48A4,https://yts.am/torrent/download/62B4D42107DE3DEE1D8036E4B7EC83A8666C9015
,,,,,,
Let's Be Evil (2016),4.4,31,"1,33,623",https://www.imdb.com/title/tt3655682/,https://yts.am/torrent/download/880CE0FDC164618A9A24FBD1BECCB12A42E8C2EA,https://yts.am/torrent/download/93520A7F63F695A399A8D9C07F23A9642CFD0652
,,,,,,
The Birth of a Nation (2016),6.4,68,"3,16,837",https://www.imdb.com/title/tt4196450/,https://yts.am/torrent/download/FC8E06EC99C51D625DDEEF79C19996FAA9E68C19,https://yts.am/torrent/download/BACE08CDEA53F31A0470D118A1464AC872A81340
,,,,,,
The Accountant (2016),7.4,497,"23,65,420",https://www.imdb.com/title/tt2140479/,https://yts.am/torrent/download/4E803A9D07492A5E8558D441B2A87B2B4ED67FDE,https://yts.am/torrent/download/DEFA7D8218BAA4F3B0F54A7A7619911D83B11607
,,,,,,
View from a Blue Moon (2015),6.6,87,"3,10,878",https://www.imdb.com/title/tt5199588/,https://yts.am/torrent/download/C7341A659660F5BBDA4744107BB35A84F6459010,https://yts.am/torrent/download/0D24E23FBD6CCA1316246783F86BE1332649EC82
,,,,,,
Greater (2016),7.2,67,"3,82,083",https://www.imdb.com/title/tt2950418/,https://yts.am/torrent/download/DB3004925D3AB5AE4C46CAFD469BCA0E7FE33648,https://yts.am/torrent/download/48BD540B674FF6CFD1A62DDA4FE0EF4D1AE04F29
,,,,,,
Middle School: The Worst Years of My Life (2016),6.1,103,"4,55,308",https://www.imdb.com/title/tt4981636/,https://yts.am/torrent/download/880E8CF143FA64958EC9686A2780394BBD1DB4F7,https://yts.am/torrent/download/FCAC5040C432D98B57DD8F78103A60BC4CF0D1E4
,,,,,,
Fender Bender (2016),4.9,30,"1,29,078",https://www.imdb.com/title/tt5131906/,https://yts.am/torrent/download/56768FA2C10A13AA114B15D0815E8BE2E66AE14E,https://yts.am/torrent/download/D97FF388032E0C3E3F0BF98D7F1F63720831FEB0
,,,,,,
Blair Witch (2016),5,111,"4,53,995",https://www.imdb.com/title/tt1540011/,https://yts.am/torrent/download/D078692DFC1BB800D57052CFBB1C98BCB94671A9,https://yts.am/torrent/download/3CD76BEFF936EEE63F6F23A1A50E42A95A2FDE25
,,,,,,
Vigilante Force (1976),5.2,5,"25,250",https://www.imdb.com/title/tt0075393/,https://yts.am/torrent/download/B047945638603202930047088C5785D5B10587F7,https://yts.am/torrent/download/592B93C0122622EC573284DE0CEAD07E240DF71A
,,,,,,
Mad Dog Time (1996),5.5,8,"37,673",https://www.imdb.com/title/tt0116953/,https://yts.am/torrent/download/1B27B864961AD7D56485479E41FB8CB1461E0170,https://yts.am/torrent/download/537432A4186BD68D555A95ED43258FA9F129C5C2
,,,,,,
Memoria (2015),5,17,"77,467",https://www.imdb.com/title/tt3262252/,https://yts.am/torrent/download/5312FDF935182ACC1ACD2F0A71F953AE9299B5E2,https://yts.am/torrent/download/313DF236E445CF41125D227761E65815D57DE8C2
,,,,,,
Judgment Night (1993),6.6,21,"84,234",https://www.imdb.com/title/tt0107286/,https://yts.am/torrent/download/1240B4F642AEEDE8EFF14FC32379F5B570F849B1,https://yts.am/torrent/download/8237A31E95BFC81D8C6853B91B226D749D3B42EC
,,,,,,
I Am Not a Serial Killer (2016),6.2,46,"2,09,171",https://www.imdb.com/title/tt4303340/,https://yts.am/torrent/download/5B5AEE2772054846A6B7832E5B9197594BF5C817,https://yts.am/torrent/download/88E953E5FE3156B9D650FEE3A58F6CC30DE81EBC
,,,,,,
Edgar Allan Poe's Lighthouse Keeper (2016),3.9,26,"1,84,426",https://www.imdb.com/title/tt3181898/,https://yts.am/torrent/download/B37C0CC1FA872A57FCA413C69A2779BE27B68F02,https://yts.am/torrent/download/30590C1075130AACAC7E636B40B611DF6E465AFD
,,,,,,
31 (2016),5.1,47,"2,44,723",https://www.imdb.com/title/tt3835080/,https://yts.am/torrent/download/53A77FD2F5570C867106A47B9516BF033EBFB79F,https://yts.am/torrent/download/45B05640D41509C95B2987101A7A58EFF5972030
,,,,,,
Train to Busan (2016),7.5,395,"9,61,419",https://www.imdb.com/title/tt5700672/,https://yts.am/torrent/download/26B7C7371F232CAA12D8AF216C0EB524CF1B1DA2,https://yts.am/torrent/download/168637B7A074323F92B4D233383DF90E7EB88CE0
,,,,,,
Denial (2016),6.6,57,"2,52,904",https://www.imdb.com/title/tt4645330/,https://yts.am/torrent/download/1458A0B229B29C3B2BCA6C71123285107A1D01BE,https://yts.am/torrent/download/61B8DB95CD1902CAD4FE05A446530224638A80F8
,,,,,,
In a Valley of Violence (2016),6,61,"2,39,572",https://www.imdb.com/title/tt3608930/,https://yts.am/torrent/download/3FDBA9A217DFD6DAE4372975F18E662A5F5A92E8,https://yts.am/torrent/download/0E82BD2E6594D03434BD770C4BCA3C862067A654
,,,,,,
Boxcar Bertha (1972),6.1,17,"97,566",https://www.imdb.com/title/tt0068309/,https://yts.am/torrent/download/000D25DBA87941542BEE47DC6983BB6FDC5C29D5,https://yts.am/torrent/download/CBBE050E85241C2C57C370133CF7E1C5827F2A83
,,,,,,
House of Flying Arrows (2016),5.5,12,"38,683",https://www.imdb.com/title/tt6268536/,https://yts.am/torrent/download/75063F2EBA4DCD5E53991FC02B2B2FDD8FC0CD2F,https://yts.am/torrent/download/29D5A1EE493A80C03B03DF6C20B959E97A5016DD
,,,,,,
Dog Eat Dog (2016),4.6,48,"2,10,484",https://www.imdb.com/title/tt4054654/,https://yts.am/torrent/download/1091F8065B26D23ECFAAD2AFF8F452E8A10F3F8C,https://yts.am/torrent/download/1E5D0D65CF7A22FBEA8EF52439C3E5B8F9A79164
,,,,,,
American Honey (2016),7,117,"4,26,927",https://www.imdb.com/title/tt3721936/,https://yts.am/torrent/download/5D3CD2F797A3785B4D65CCAD2FCEE1955BB28664,https://yts.am/torrent/download/796600E5A337318E2F270407A4D4B28D78D04A0A
,,,,,,
When the Bough Breaks (2016),5,51,"2,97,243",https://www.imdb.com/title/tt1389139/,https://yts.am/torrent/download/EA4F8AB076A612D0F5970E3D63EE836D1294A350,https://yts.am/torrent/download/A6CA6F25B84595E95CCFA66B7D4EFD5A88433ABB
,,,,,,
The Fourth Phase (2016),7.1,63,"4,74,700",https://www.imdb.com/title/tt5226436/,https://yts.am/torrent/download/499A90080650795C2FD6768DE53D178A7B497062,https://yts.am/torrent/download/B7CA296CD9EED5364BD9120FACFA9D57AFD0A574
,,,,,,
Elvis Lives! (2016),3.5,5,"42,521",https://www.imdb.com/title/tt5748998/,https://yts.am/torrent/download/F9382152E2C416494A86E836F5C259FA1D8A29E1,https://yts.am/torrent/download/AEBA07E4280F67E48ADC5CD5D38FA497B641D211
,,,,,,
Krampus: The Devil Returns (2016),1.7,31,"1,25,745",https://www.imdb.com/title/tt3527772/,https://yts.am/torrent/download/CE5C50F3F57F6821ED614A822ED670E656F34CDD,https://yts.am/torrent/download/5C786561D28520BDE73EA316F9335573EFF7AF87
,,,,,,
For the Love of Spock (2016),7.6,59,"2,53,712",https://www.imdb.com/title/tt4572820/,https://yts.am/torrent/download/7FA40C139930DF129B0E78F6F542B26C5181B5A4,https://yts.am/torrent/download/D40C5F3EFC3A9F3C2B04A0C4C775C6200B4815EF
,,,,,,
Monster: The Prehistoric Project (2015),1.5,13,"52,318",https://www.imdb.com/title/tt4527400/,https://yts.am/torrent/download/AA6D0EAED56BEB6C98982A5B921638D4C32F0BBA,https://yts.am/torrent/download/669342E3D42CB7EED42C9D557F0B135FB51DA1B9
,,,,,,
The Hollars (2016),6.5,38,"1,83,214",https://www.imdb.com/title/tt3714720/,https://yts.am/torrent/download/3D4CCB554A2FCE51A70B63F7108C57B122FEEAC5,https://yts.am/torrent/download/A69CC3E3920FF882B331D2A258FB56C387B4899F
,,,,,,
The Magnificent Seven (2016),6.9,499,"25,28,131",https://www.imdb.com/title/tt2404435/,https://yts.am/torrent/download/2654480F01BD187024016281A344E5AB1D5548CF,https://yts.am/torrent/download/9B4C9DB1F1ECC3AB3F4E4EF9A7D5D38D791B7F7A
,,,,,,
Frankenstein Must Be Destroyed (1969),6.9,12,"32,724",https://www.imdb.com/title/tt0065738/,https://yts.am/torrent/download/17CB4B88696A6F2E26472DB166A28670223D62BE,https://yts.am/torrent/download/707D3AE9CDC6A0164B952DFA3680CA7F91A90233
,,,,,,
Beware! The Blob (1972),4.1,8,"51,510",https://www.imdb.com/title/tt0068271/,https://yts.am/torrent/download/531CC2B3DD07FD5B31CA5CB5FDDE5A2123DBE547,https://yts.am/torrent/download/1C1BC6BBE1EE0FBC89206EFA8B86D4C9BA96445B
,,,,,,
Cube (1997),7.3,183,"2,51,752",https://www.imdb.com/title/tt0123755/,https://yts.am/torrent/download/531CC2B3DD07FD5B31CA5CB5FDDE5A2123DBE547,https://yts.am/torrent/download/35C77F48B409C8EF9034BFFC867EE83724077D8C
,,,,,,
Lo and Behold: Reveries of the Connected World (2016),7.1,59,"3,24,008",https://www.imdb.com/title/tt5275828/,https://yts.am/torrent/download/DFE64F8AF92E98988539975F826FF2BACAFC4DEA,https://yts.am/torrent/download/3381A4873E690D3FA89393898AEE7514868689B8
,,,,,,
Sully (2016),7.5,459,"26,01,659",https://www.imdb.com/title/tt3263904/,https://yts.am/torrent/download/23B285BB637497E673A6013B19119E77BD713AAD,https://yts.am/torrent/download/1581F09B4A26C3615F72B3B932627F5B8D6DD9F0
,,,,,,
I Am Bolt (2016),7.1,116,"7,08,818",https://www.imdb.com/title/tt4647900/,https://yts.am/torrent/download/4CCEF1F7856C749257A711946DE4C8AC52428B3C,https://yts.am/torrent/download/453B31AE3081820D80F6387074EB1CFF4615D9F1
,,,,,,
Eliminators (2016),5.5,76,"3,50,167",https://www.imdb.com/title/tt4587366/,https://yts.am/torrent/download/F294B424848EBB38B24CFC3B3F1C0969A4F57435,https://yts.am/torrent/download/1841B08087CF099BA3398D9B5DCE1B7B150342F4
,,,,,,
Ordinary World (2016),5.5,37,"1,63,115",https://www.imdb.com/title/tt4189494/,https://yts.am/torrent/download/2AD44FAA598EADCC22922038F1762ED13B7C45D5,https://yts.am/torrent/download/68B486F79720843CE66E01A0DE56A425821F1C90
,,,,,,
Southside with You (2016),6.3,29,"1,27,361",https://www.imdb.com/title/tt4258698/,https://yts.am/torrent/download/DC00835C9230C18D0286A44E6B36DF4512031611,https://yts.am/torrent/download/EF435713D869D44DE1D119259BDFA7BC6EBAE04F
,,,,,,
Morgan (2016),5.8,126,"3,97,839",https://www.imdb.com/title/tt4520364/,https://yts.am/torrent/download/54BF2C43AFF4FE13E345B95B337D3AE5E9722127,https://yts.am/torrent/download/441633D3F25D6D20E3996DF9D827DF0BEA428EB3
,,,,,,
Equity (2016),5.5,20,"1,42,915",https://www.imdb.com/title/tt3958780/,https://yts.am/torrent/download/42A9BEFC0CDA64BD5DDF5ABCFB0AE90E622F63D3,https://yts.am/torrent/download/AB416D7BA8176BD8D3BEC7CC97D6794EE56879F7
,,,,,,
Bridget Jones's Baby (2016),6.6,118,"8,28,907",https://www.imdb.com/title/tt1473832/,https://yts.am/torrent/download/5A3FF681889278C8B385D319E65A1E6298393533,https://yts.am/torrent/download/0110344B913A8DBAAD5D49697AE57BFC4A350BF4
,,,,,,
Lake Eerie (2016),4.9,36,"1,88,567",https://www.imdb.com/title/tt2948078/,https://yts.am/torrent/download/7AFAADD6F8D266730E1CA55A64FA37800302B37A,https://yts.am/torrent/download/6423F0D559855F7AB325FDCDC25F9DAD20DC973E
,,,,,,
Very Bad Things (1998),6.3,24,"88,577",https://www.imdb.com/title/tt0124198/,https://yts.am/torrent/download/C75BD01B52BBE3AA17D84C18F10844C88E66C12B,https://yts.am/torrent/download/8562F82FFF54C0CAF3EE8D8A2F3C2D225F0D67D7
,,,,,,
Space Dogs: Adventure to the Moon (2014),3.9,32,"2,93,607",https://www.imdb.com/title/tt5904244/,https://yts.am/torrent/download/151F2F0158D45F7FBD844E1D0D82ED479B7FFA2B,https://yts.am/torrent/download/9362BE40D43B59C132D1288E0BC5117084CD29DC
,,,,,,
Ben-Hur (2016),5.7,192,"10,04,041",https://www.imdb.com/title/tt2638144/,https://yts.am/torrent/download/EDD4AA6753E909AA1350E4BFD3F4298FBA2ED332,https://yts.am/torrent/download/7353E02A4323A10EC8519B9BEC3358898D4ECFC7
,,,,,,
Outlaws and Angels (2016),5.4,49,"2,37,451",https://www.imdb.com/title/tt3491962/,https://yts.am/torrent/download/A4CCF03F8F4D0F576CC089F4D6F14940BDBDDDA2,https://yts.am/torrent/download/12C60F96706401A73B5D7C16C2A4BCF2BDEE700D
,,,,,,
Being Charlie (2015),6.3,73,"2,18,261",https://www.imdb.com/title/tt4630444/,https://yts.am/torrent/download/E332DDE0057B9429F05B4F455A2D00066254B431,https://yts.am/torrent/download/EEA3D04F25D7A935C719AFB6BCE97FC761387543
,,,,,,
Cardboard Boxer (2016),6.4,51,"2,13,211",https://www.imdb.com/title/tt3230660/,https://yts.am/torrent/download/FBD57531B8C8D65363DFAADE5D8C868606FA2272,https://yts.am/torrent/download/BE7EDE76E6E132C9A221CE624B9E423DF3422DAA
,,,,,,
Don't Think Twice (2016),6.7,78,"3,95,617",https://www.imdb.com/title/tt4972062/,https://yts.am/torrent/download/392E75C783251AB14C4F8083FF9A68DC17D6391E,https://yts.am/torrent/download/915FBB99471B4F1567F347EF481F4A52D5B94BA0
,,,,,,
Absolutely Fabulous: The Movie (2016),5.4,27,"1,69,276",https://www.imdb.com/title/tt2112096/,https://yts.am/torrent/download/875B38B1CB26A0FA687919B34FDF248285216A02,https://yts.am/torrent/download/5964BCA3C0796581D6466D85B6928D6D0C03463B
,,,,,,
The Remains (2016),3.7,29,"2,03,313",https://www.imdb.com/title/tt3894312/,https://yts.am/torrent/download/50E8AC90A763E525530AA81CCCE24A33D510DEC9,https://yts.am/torrent/download/3E8EC6CFD5D6B01BDD179B795C627DA9B1C8B0E8
,,,,,,
The Neighbour (2016),5.7,45,"2,58,459",https://www.imdb.com/title/tt3330764/,https://yts.am/torrent/download/FBE72331D1C26FBB84776E43BD9A065B90271D29,https://yts.am/torrent/download/CE8FFC13CB4DD8E061E68A75AE18F5988A0C8DBB
,,,,,,
The Whole Truth (2016),6.2,106,"4,42,885",https://www.imdb.com/title/tt3503406/,https://yts.am/torrent/download/A09FC9198A84AED67F2230150494E57018B87055,https://yts.am/torrent/download/1A745F677CAED40AC2AD0840D199C6044C9859F7
,,,,,,
Best of the Best (1989),6.4,22,"89,385",https://www.imdb.com/title/tt0096913/,https://yts.am/torrent/download/9F86326B31FB59261F45FE00A9001A6D20ED1163,https://yts.am/torrent/download/A9BC991A62C94E2A975EE79364EBD833D20706CB
,,,,,,
Best of the Best II (1993),5.4,20,"69,589",https://www.imdb.com/title/tt0106393/,https://yts.am/torrent/download/9D5F7E2F1B45ADC6D6B8C2028249DBF460F45B98,https://yts.am/torrent/download/5C47A915C8C7B70EDBF9D57BF273D0F3978A4782
,,,,,,
Blood Punch (2014),6.4,38,"1,47,056",https://www.imdb.com/title/tt2825230/,https://yts.am/torrent/download/BD166A381006B67EBE4652B9E40488DD7885270D,https://yts.am/torrent/download/BBE649FCB1AD6EE993CE1C44044809FAD308CA79
,,,,,,
Morris from America (2016),6.2,52,"1,62,610",https://www.imdb.com/title/tt3652862/,https://yts.am/torrent/download/BC12E724F601CBFDFB0C908456700C7D83464CDB,https://yts.am/torrent/download/7EEA99D8F4A4847E16B144DD0701572848199B8C
,,,,,,
Fort Tilden (2014),5.4,20,"51,005",https://www.imdb.com/title/tt3457734/,https://yts.am/torrent/download/2B6547C61FA0213D345833BECD13157CD9F8BCE3,https://yts.am/torrent/download/8A2DC3E0DB8769937B659A6A289ADE8E22CD27AB
,,,,,,
High Strung (2016),6.5,101,"3,17,443",https://www.imdb.com/title/tt3451230/,https://yts.am/torrent/download/4FD9BBF05BB0576191C6E54F289781F52AE6BE57,https://yts.am/torrent/download/F3AB2B4366D49D9C3A3395B542DAFED6AA1837CE
,,,,,,
Addicted to Fresno (2015),5.4,27,"84,335",https://www.imdb.com/title/tt4000870/,https://yts.am/torrent/download/77B64B08AE9B39ACEE615BEC89C1EC0A05004F95,https://yts.am/torrent/download/6A7DD9A356D55BE91C05F83C48145EB324D6C38B
,,,,,,
Late Summer (2016),5.1,25,"42,622",https://www.imdb.com/title/tt4182064/,https://yts.am/torrent/download/6C3B5ADD3DD7EE0F83C8F80F5E148B087AA051F3,https://yts.am/torrent/download/4B9150A0261E12B071C439B1015CAE992437C997
,,,,,,
Jason Bourne (2016),6.6,450,"14,73,287",https://www.imdb.com/title/tt4196776/,https://yts.am/torrent/download/3B6795B97E5165FB17AADFE300465B764091FCB0,https://yts.am/torrent/download/F6847E2B2DA3351902F162797918ADDE2D66979D
,,,,,,
The Great Gilly Hopkins (2015),6.4,77,"2,33,209",https://www.imdb.com/title/tt1226766/,https://yts.am/torrent/download/9627304FCFEFD1A271E1131B5F174026D294663D,https://yts.am/torrent/download/BBDDA5E479BFDBF1DF3284F9CDBD47722699FEF1
,,,,,,
Pete's Dragon (2016),6.7,277,"10,81,811",https://www.imdb.com/title/tt2788732/,https://yts.am/torrent/download/AC10D8D29957099BA0BF161DDEAA624127791FF5,https://yts.am/torrent/download/072CFE8223E313007875A999EA9A15299FDF9C6D
,,,,,,
The BFG (2016),6.4,276,"8,78,195",https://www.imdb.com/title/tt3691740/,https://yts.am/torrent/download/F3DBD021CC747C9FDBFCCDFE4ECAAE69802B00BC,https://yts.am/torrent/download/B47E5CE37DDCAE25ED126CF06201C189F069EE08
,,,,,,
Don't Breathe (2016),7.1,561,"3,61,378",https://www.imdb.com/title/tt4160708/,https://yts.am/torrent/download/826424BE310C2DEA17F1246C8A9A8FCECBBBE5F9,https://yts.am/torrent/download/3BD27DB4D0A97DAE6A06C47F608C4A9DB171E7A3
,,,,,,
The Secret Life of Pets (2016),6.5,358,"9,82,831",https://www.imdb.com/title/tt2709768/,https://yts.am/torrent/download/147C115F3DE71B6B0C4FE44AFF7695B43D016DBB,https://yts.am/torrent/download/660426E302992B361C13B82C6B424C4637A43475
,,,,,,
Hell or High Water (2016),7.6,306,"4,98,536",https://www.imdb.com/title/tt2582782/,https://yts.am/torrent/download/DC57DD06AFFED015ED8188146E5915CE8A06492B,https://yts.am/torrent/download/77EEE3740BCF77A5507C9344E276E792289D7BA8
,,,,,,
Fantompojken (2015),6.6,48,"1,53,015",https://www.imdb.com/title/tt1856057/,https://yts.am/torrent/download/50AC8EDFA0C3A56026173DFF3F0164FB0AD31AB2,https://yts.am/torrent/download/A2B1DC57BB8B862EEFDA06E998B01450D2E70A28
,,,,,,
Mechanic: Resurrection (2016),5.7,471,"2,85,325",https://www.imdb.com/title/tt3522806/,https://yts.am/torrent/download/15D0FFD08EA199E877886437DDCBC9A36C4EB026,https://yts.am/torrent/download/F767308A8F049CC4FDA72FF94B351D2E70DAF730
,,,,,,
